record_id,zone_id,date,deliveries_count,cost_per_delivery,battery_used_pct
1,1,2025-05-01,12,49.81,40.9
2,1,2025-05-02,10,52.89,40.6
3,1,2025-05-03,9,,44.6
4,1,2025-05-04,9,49.95,39.6
5,1,2025-05-05,7,49.05,33.8
6,1,2025-05-06,11,46.63,37.4
7,1,2025-05-07,13,45.6,35.9
8,1,2025-05-08,7,47.64,41.8
9,1,2025-05-09,8,46.69,41.9
10,1,2025-05-10,10,49.45,39.1
11,1,2025-05-11,10,46.51,48.9
12,1,2025-05-12,8,45.15,44.8
13,1,2025-05-13,8,48.95,33.7
14,1,2025-05-14,11,48.91,44.5
15,1,2025-05-15,7,47.97,40.3
16,1,2025-05-16,12,46.16,39.7
17,1,2025-05-17,11,49.35,34.4
18,1,2025-05-18,11,47.16,38.8
19,1,2025-05-19,9,51.41,45.2
20,1,2025-05-20,12,47.39,42.8
21,1,2025-05-21,8,46.88,40.8
22,1,2025-05-22,13,44.73,44.8
23,1,2025-05-23,11,48.1,45.5
24,1,2025-05-24,13,46.38,42.9
25,1,2025-05-25,5,48.21,47.8
26,1,2025-05-26,10,50.79,41.8
27,1,2025-05-27,10,48.6,33.5
28,1,2025-05-28,9,49.39,47.4
29,1,2025-05-29,12,45.89,39.5
30,1,2025-05-30,11,49.31,39.4
31,1,2025-05-31,9,48.61,45.4
32,1,2025-06-01,7,47.34,39.9
33,1,2025-06-02,10,49.21,42.5
34,1,2025-06-03,9,47.62,35.8
35,1,2025-06-04,10,47.29,38.3
36,1,2025-06-05,11,49.53,49.0
37,1,2025-06-06,6,49.09,41.2
38,1,2025-06-07,15,48.24,41.7
39,1,2025-06-08,10,47.74,42.7
40,1,2025-06-09,12,44.81,46.1
41,1,2025-06-10,13,50.69,37.9
42,1,2025-06-11,15,44.11,43.8
43,1,2025-06-12,10,45.35,39.2
44,1,2025-06-13,10,46.81,35.3
45,1,2025-06-14,8,45.13,43.4
46,1,2025-06-15,10,52.97,38.4
