log_id,zone_id,date,wind_speed_kmph,visibility_km,precipitation_mm
1,1,2025-05-01,14.4,9.2,0.3
2,1,2025-05-02,8.3,9.0,2.5
3,1,2025-05-03,27.9,10.0,5.5
4,1,2025-05-04,6.8,10.0,0.0
5,1,2025-05-05,12.0,6.5,0.0
6,1,2025-05-06,4.0,9.9,0.0
7,1,2025-05-07,26.2,9.1,0.0
8,1,2025-05-08,6.3,9.6,0.0
9,1,2025-05-09,6.0,9.0,0.0
10,1,2025-05-10,9.9,7.8,3.3
11,1,2025-05-11,17.8,7.6,0.0
12,1,2025-05-12,2.8,9.7,1.5
13,1,2025-05-13,16.9,9.7,0.0
14,1,2025-05-14,9.1,8.9,0.0
15,1,2025-05-15,6.8,10.0,0.1
16,1,2025-05-16,12.7,8.8,7.2
17,1,2025-05-17,5.6,10.0,1.9
18,1,2025-05-18,20.3,10.0,0.0
19,1,2025-05-19,4.8,8.9,0.5
20,1,2025-05-20,6.7,9.1,0.0
21,1,2025-05-21,17.7,10.0,0.0
22,1,2025-05-22,13.1,8.4,0.1
23,1,2025-05-23,9.7,10.0,0.0
24,1,2025-05-24,10.7,9.0,0.0
25,1,2025-05-25,8.4,9.9,1.3
26,1,2025-05-26,5.0,8.6,1.8
27,1,2025-05-27,18.9,9.9,0.0
28,1,2025-05-28,10.8,10.0,3.0
29,1,2025-05-29,5.5,8.9,0.0
30,1,2025-05-30,12.5,9.8,0.0
31,1,2025-05-31,2.6,8.8,0.0
32,1,2025-06-01,8.8,10.0,0.9
33,1,2025-06-02,12.1,9.3,0.0
34,1,2025-06-03,1.3,9.4,0.0
35,1,2025-06-04,10.5,10.0,0.0
36,1,2025-06-05,8.6,9.9,0.0
37,1,2025-06-06,21.7,10.0,1.1
38,1,2025-06-07,25.3,7.3,0.0
39,1,2025-06-08,4.1,8.6,0.3
40,1,2025-06-09,2.2,9.5,0.0
41,1,2025-06-10,4.4,10.0,0.0
42,1,11/06/2025,5.1,8.9,2.7
43,1,2025-06-12,17.7,7.6,0.1
44,1,2025-06-13,2.0,9.7,3.1
45,1,2025-06-14,12.2,10.0,0.0
46,1,2025-06-15,14.6,9.8,1.5
47,1,2025-06-16,5.6,9.7,3.1
48,1,2025-06-17,12.4,8.3,0.0
49,1,2025-06-18,32.5,10.0,0.0
50,1,2025-06-19,4.2,10.0,1.2
51,1,2025-06-20,19.5,10.0,0.2
52,1,2025-06-21,8.2,8.3,0.0
53,1,2025-06-22,9.4,9.9,0.5
54,1,2025-06-23,10.1,10.0,0.0
55,1,2025-06-24,15.7,8.1,0.0
56,1,2025-06-25,3.8,10.0,4.7
57,1,2025-06-26,8.4,10.0,3.8
58,1,2025-06-27,14.1,9.3,2.3
59,1,2025-06-28,,7.1,0.0
60,1,2025-06-29,11.8,7.5,0.9
61,1,2025-06-30,4.6,9.6,7.7
62,1,2025-07-01,10.5,7.7,1.2
63,1,2025-07-02,21.0,10.0,0.0
64,1,2025-07-03,14.5,10.0,3.4
65,1,2025-07-04,14.5,10.0,0.6
66,1,2025-07-05,19.4,10.0,0.0
67,1,2025-07-06,5.1,9.0,0.0
68,1,2025-07-07,40.8,6.6,0.3
69,1,2025-07-08,6.8,10.0,0.0
70,1,2025-07-09,5.4,10.0,0.0
71,1,2025-07-10,10.4,8.4,0.5
72,1,2025-07-11,1.1,9.7,0.0
73,1,2025-07-12,5.0,9.2,5.1
74,1,2025-07-13,14.4,10.0,0.0
75,1,2025-07-14,6.8,8.4,1.0
76,1,2025-07-15,3.1,10.0,1.2
77,1,2025-07-16,37.1,10.0,0.0
78,1,2025-07-17,23.4,8.3,0.0
79,1,2025-07-18,13.8,10.0,0.0
80,1,2025-07-19,4.0,10.0,0.5
81,1,2025-07-20,2.5,10.0,0.0
82,1,2025-07-21,2.5,7.9,0.0
83,1,2025-07-22,14.0,9.5,4.1
84,1,2025-07-23,7.3,10.0,0.0
85,1,2025-07-24,3.1,9.2,5.0
86,1,2025-07-25,15.3,9.8,0.0
87,1,2025-07-26,5.9,8.5,0.0
88,1,2025-07-27,18.1,10.0,1.2
89,1,2025-07-28,12.6,8.2,1.3
90,1,2025-07-29,6.3,9.4,0.0
91,2,2025-05-01,10.9,9.6,2.4
92,2,2025-05-02,8.5,10.0,0.0
93,2,2025-05-03,17.7,10.0,0.0
94,2,2025-05-04,10.2,9.3,4.5
95,2,2025-05-05,9.0,7.6,0.0
96,2,2025-05-06,36.5,10.0,1.6
97,2,2025-05-07,17.5,8.8,0.0
98,2,2025-05-08,4.5,10.0,0.0
99,2,2025-05-09,8.9,9.4,0.4
100,2,2025-05-10,6.2,9.2,0.0
101,2,2025-05-11,6.6,8.1,0.0
102,2,2025-05-12,11.9,6.6,1.9
103,2,2025-05-13,2.6,7.7,1.5
104,2,2025-05-14,8.4,10.0,0.0
105,2,2025-05-15,8.8,8.8,0.0
106,2,2025-05-16,7.9,9.3,1.2
107,2,2025-05-17,4.9,8.6,0.0
108,2,2025-05-18,13.4,9.1,0.0
109,2,2025-05-19,10.1,8.8,0.5
110,2,2025-05-20,14.4,10.0,0.3
111,2,2025-05-21,5.2,10.0,0.0
112,2,2025-05-22,5.0,5.6,0.3
113,2,2025-05-23,6.5,9.3,0.0
114,2,2025-05-24,32.7,7.5,3.3
115,2,2025-05-25,14.3,6.8,3.9
116,2,2025-05-26,32.0,10.0,7.2
117,2,2025-05-27,,6.2,5.5
118,2,2025-05-28,24.6,8.6,0.0
119,2,2025-05-29,23.0,8.8,1.4
120,2,2025-05-30,10.4,8.1,0.0
121,2,2025-05-31,15.6,9.0,0.0
122,2,2025-06-01,14.5,6.5,0.0
123,2,2025-06-02,23.5,10.0,0.0
124,2,2025-06-03,10.9,10.0,2.7
125,2,2025-06-04,30.7,,0.9
126,2,2025-06-05,24.8,10.0,0.0
127,2,2025-06-06,1.6,8.4,0.0
128,2,2025-06-07,,10.0,2.5
129,2,2025-06-08,2.7,6.2,0.0
130,2,2025-06-09,9.6,5.7,0.5
